PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1,0,Rose,94.29725,90,2.1034133
p1,1,Rose,97.03117,100,1.5698928
p1,2,Bar,31.068796,35,1.9749712
p1,3,Bar,2.7703543,5,1.1568145
p1,4,Pie,81.976555,100,4.1718025
p1,5,Rose,59.92029,30,4.9030523
p1,6,Bar,74.46718,75,-0.90827537
p1,7,Pie,54.535763,100,5.50666
p1,8,Pie,48.191235,100,5.695124
p2,0,Rose,79.77896,50,4.8962216
p2,1,Pie,27.592373,100,6.1780696
p2,2,Rose,47.306446,25,4.4793887
p2,3,Bar,13.677261,20,2.6605496
p2,4,Rose,20.147915,10,3.3431115
p2,5,Bar,10.72051,20,3.2140455
p2,6,Bar,6.790968,15,3.0372121
p2,7,Pie,82.27445,100,4.147758
p2,8,Pie,56.092506,100,5.456395
p3,0,Rose,0.72085696,0,-0.4722151
p3,1,Bar,30.91977,40,3.1827288
p3,2,Pie,30.880707,100,6.1110168
p3,3,Pie,74.93028,100,4.647874
p3,4,Rose,99.68601,100,-1.67122
p3,5,Bar,0.44510415,1,-0.849711
p3,6,Bar,22.74701,30,2.8585758
p3,7,Rose,19.93899,5,3.9010105
p3,8,Pie,56.055893,100,5.4575977
p4,0,Rose,51.7057,45,2.745388
p4,1,Pie,12.219382,100,6.4558306
p4,2,Bar,37.946285,50,3.591406
p4,3,Pie,32.108784,100,6.0851536
p4,4,Rose,90.340935,90,-1.5524323
p4,5,Bar,58.4282,75,4.0506587
p4,6,Rose,37.69717,20,4.145447
p4,7,Bar,79.45166,75,2.1543434
p4,8,Pie,5.1007395,100,6.568325
p5,0,Rose,9.7602,1,3.1309638
p5,1,Rose,55.643017,33,4.500994
p5,2,Rose,81.62654,75,2.728256
p5,3,Bar,19.01427,20,-0.020736706
p5,4,Bar,37.294655,40,1.4358126
p5,5,Bar,96.46057,97,-0.89049584
p5,6,Pie,40.138714,100,5.9035516
p5,7,Pie,14.2285795,100,6.4224253
p5,8,Pie,92.00758,100,2.9986317
p6,0,Rose,34.32461,15,4.2723675
p6,1,Bar,33.234768,33,-2.0906928
p6,2,Rose,73.15115,60,3.7171175
p6,3,Bar,90.71916,90,-0.4756113
p6,4,Bar,24.112278,25,-0.17182012
p6,5,Rose,81.478065,80,0.5637102
p6,6,Pie,27.890757,100,6.172112
p6,7,Pie,61.747086,100,5.257498
p6,8,Pie,50.02024,100,5.643272
p7,0,Rose,40.574482,16,4.619089
p7,1,Pie,64.6153,100,5.1450534
p7,2,Pie,86.79567,100,3.7229395
p7,3,Pie,8.209717,100,6.5202694
p7,4,Bar,37.99516,40,1.0034877
p7,5,Rose,15.353857,1,3.8433664
p7,6,Rose,95.91302,100,2.0310361
p7,7,Bar,78.44779,89,3.399473
p7,8,Bar,76.30964,82,2.5085201
p8,0,Rose,86.408424,75,3.5120277
p8,1,Rose,80.512405,60,4.358425
p8,2,Rose,62.91529,40,4.5182385
p8,3,Bar,99.17264,100,-0.27340928
p8,4,Bar,83.40178,80,1.7662895
p8,5,Pie,83.375916,100,4.055203
p8,6,Bar,43.515167,40,1.8135934
p8,7,Pie,29.376354,100,6.142079
p8,8,Pie,8.996502,100,6.50785
p9,0,Rose,59.06998,30,4.8614583
p9,1,Pie,55.736397,100,5.468049
p9,2,Bar,73.87314,80,2.6151483
p9,3,Pie,31.089064,100,6.106661
p9,4,Bar,18.023777,10,3.0042813
p9,5,Pie,58.023006,100,5.3915267
p9,6,Rose,89.337166,90,-0.59328014
p9,7,Rose,14.690354,5,3.2765496
p9,8,Bar,57.673645,40,4.143528
p10,0,Rose,20.211658,10,3.3521452
p10,1,Bar,19.991297,20,-6.844233
p10,2,Bar,27.914604,30,1.0603212
p10,3,Pie,62.418163,100,5.2319636
p10,4,Rose,7.610806,2,2.488208
p10,5,Rose,18.628382,5,3.7685423
p10,6,Pie,47.955017,80,5.0020266
p10,7,Pie,7.9839087,100,6.523814
p10,8,Bar,69.08448,60,3.183404
