PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error,,,,,,
p1,5,animate,91.512566,85,2.703226,,Animated mean:,Animated standard deviation:,Animated p value:,Animated t-stat:,Sample size:
p1,6,animate,5.745066,5,-0.42455956,,2.840734779,1.769528865,0.043129998,1.734676855,90
p1,7,animate,96.751526,90,2.7552137,,,,,,Number of tails:
p2,4,animate,44.835564,10,5.122489,,Bold mean:,Bold standard deviation:,Bold p value:,Bold t-stat:,1
p2,7,animate,70.36398,40,4.924289,,3.350970874,1.32946932,0.093116965,1.332083275,
p2,8,animate,60.822285,40,4.3800564,,,,,,
p3,4,animate,6.760511,2,2.2511163,,Dash mean:,Dash standard deviation:,Dash p value:,Dash t-stat:,
p3,5,animate,8.827404,100,6.5105286,,3.301179028,1.407219127,0.179300424,0.922810737,
p3,7,animate,16.864365,3,3.7933095,,,,,,
p4,1,animate,82.346146,80,1.2302926,,Overall mean:,,,,
p4,4,animate,70.52679,70,-0.9247089,,3.164294894,,,,
p4,6,animate,33.227528,15,4.188047,,,,,,
p5,2,animate,77.16179,66,3.4804964,,,,,,
p5,3,animate,42.094307,30,3.5962563,,,,,,
p5,4,animate,42.935986,25,4.1647854,,,,,,
p6,3,animate,84.95414,80,2.3086345,,,,,,
p6,6,animate,87.91759,90,1.058256,,,,,,
p6,7,animate,74.070656,70,2.0252612,,,,,,
p7,2,animate,22.397526,10,3.6319802,,,,,,
p7,4,animate,57.599514,50,2.9259071,,,,,,
p7,7,animate,1.8642815,1,-0.21042675,,,,,,
p8,1,animate,97.73255,85,3.6704495,,,,,,
p8,2,animate,61.827477,50,3.5640705,,,,,,
p8,5,animate,94.15483,100,2.5472445,,,,,,
p9,5,animate,80.55969,60,4.361747,,,,,,
p9,7,animate,88.38072,90,0.69535065,,,,,,
p9,8,animate,18.881691,5,3.7951117,,,,,,
p10,5,animate,51.122864,35,4.011036,,,,,,
p10,6,animate,94.93611,96,0.08934703,,,,,,
p10,8,animate,47.98469,40,2.9972365,,,,,,
p1,2,bold,25.289541,10,3.9344733,,,,,,
p1,4,bold,35.96963,20,3.997259,,,,,,
p1,8,bold,6.452392,1,2.4468894,,,,,,
p2,2,bold,70.99094,25,5.5232773,,,,,,
p2,3,bold,95.1565,100,2.2760494,,,,,,
p2,6,bold,72.89096,40,5.0396194,,,,,,
p3,1,bold,37.175568,10,4.7642384,,,,,,
p3,3,bold,97.94863,95,1.5600455,,,,,,
p3,8,bold,67.29508,40,4.770569,,,,,,
p4,2,bold,75.709274,55,4.3722053,,,,,,
p4,7,bold,49.275375,33,4.024619,,,,,,
p4,8,bold,94.70423,100,2.40484,,,,,,
p5,1,bold,11.694143,4,2.9437606,,,,,,
p5,7,bold,44.18573,34,3.3484774,,,,,,
p5,8,bold,1.9185861,1,-0.122513086,,,,,,
p6,1,bold,76.437256,70,2.686446,,,,,,
p6,2,bold,7.751054,5,1.4599843,,,,,,
p6,5,bold,69.48364,50,4.284191,,,,,,
p7,3,bold,7.3241906,3,2.11243,,,,,,
p7,5,bold,93.102905,90,1.6336197,,,,,,
p7,6,bold,3.8321815,1,1.5019137,,,,,,
p8,6,bold,29.013617,10,4.248961,,,,,,
p8,7,bold,24.972242,10,3.9042184,,,,,,
p8,8,bold,90.120926,80,3.3392694,,,,,,
p9,3,bold,59.49569,30,4.8824325,,,,,,
p9,4,bold,45.526905,28,4.1314993,,,,,,
p9,6,bold,45.005947,20,4.6441994,,,,,,
p10,1,bold,56.453453,40,4.0403185,,,,,,
p10,2,bold,38.12932,30,3.0231345,,,,,,
p10,7,bold,15.215576,5,3.3526986,,,,,,
p1,0,dash,79.30757,70,3.218405,,,,,,
p1,1,dash,6.588544,5,0.66770494,,,,,,
p1,3,dash,91.78841,90,0.8386746,,,,,,
p2,0,dash,20.351654,4,4.031365,,,,,,
p2,1,dash,52.82225,25,4.798167,,,,,,
p2,5,dash,17.571087,1,4.050596,,,,,,
p3,0,dash,2.5197415,0,1.3332757,,,,,,
p3,2,dash,23.777905,5,4.230964,,,,,,
p3,6,dash,33.466183,10,4.552511,,,,,,
p4,0,dash,89.80553,88,0.8524198,,,,,,
p4,3,dash,33.29549,15,4.193416,,,,,,
p4,5,dash,9.784903,1,3.1350262,,,,,,
p5,0,dash,9.719228,2,2.9484565,,,,,,
p5,5,dash,33.225384,16,4.106464,,,,,,
p5,6,dash,62.370758,50,3.6288621,,,,,,
p6,0,dash,80.185356,85,2.267429,,,,,,
p6,4,dash,26.470333,10,4.041798,,,,,,
p6,8,dash,54.737717,20,5.118431,,,,,,
p7,0,dash,47.721878,16,4.9874063,,,,,,
p7,1,dash,21.224232,50,4.846782,,,,,,
p7,8,dash,16.626541,5,3.53935,,,,,,
p8,0,dash,7.9191937,5,1.5455699,,,,,,
p8,3,dash,84.35801,70,3.8437836,,,,,,
p8,4,dash,63.09669,40,4.5296144,,,,,,
p9,0,dash,26.976528,5,4.4578915,,,,,,
p9,1,dash,82.92186,80,1.5468869,,,,,,
p9,2,dash,54.32893,40,3.840859,,,,,,
p10,0,dash,7.696631,2,2.510109,,,,,,
p10,3,dash,1.0425663,3,0.9689634,,,,,,
p10,4,dash,31.173521,10,4.404189,,,,,,
